,CBR08,CBR08,CBR08,CBR11,CBR11,CBR11,CBR14,CBR14,CBR14,CBR15,CBR15,CBR15,CBR16,CBR16,CBR16,CBR19,CBR19,CBR19,CBR21,CBR21,CBR21,CBR22,CBR22,CBR22,CBR24,CBR24,CBR24,CBR26,CBR26,CBR26,CBR25,CBR25,CBR25,CBR27,CBR27,CBR27,CBR28,CBR28,CBR28,CBR30,CBR30,CBR30,CBR31,CBR31,CBR31
Days,SCO-Device,CBR-Device,KAFO-Device,SCO-Device,CBR-Device,KAFO-Device,SCO-Device,CBR-Device,KAFO-Device,SCO-Device,CBR-Device,KAFO-Device,SCO-Device,CBR-Device,KAFO-Device,SCO-Device,CBR-Device,KAFO-Device,SCO-Device,CBR-Device,KAFO-Device,SCO-Device,CBR-Device,KAFO-Device,SCO-Device,CBR-Device,KAFO-Device,SCO-Device,CBR-Device,KAFO-Device,SCO-Device,CBR-Device,KAFO-Device,SCO-Device,CBR-Device,KAFO-Device,SCO-Device,CBR-Device,KAFO-Device,SCO-Device,CBR-Device,KAFO-Device,SCO-Device,CBR-Device,KAFO-Device
1,11.5,33.5,,86.7,71.2,83.2,33.5,27.8,,56.2,86.2,89.5,69.7,74,,48.7,45.2,,43.8,22.8,91.7,33.1,54.3,60.1,13.9,6.3,29.9,88,28.6,88.5,,32.7,68,49.1,10.4,82.7,44.9,39.2,20.2,89.5,100,100,,93.8,86.7
2,0,4.8,,20.4,1.7,12.9,0,0,,47.5,61.8,58.4,32,0,,0,0,,19.5,0,42.2,0,24.7,0.4,16.4,17.6,49.9,29.7,4.8,46.9,,26,57.5,0,0,49.1,0,5.8,8.3,65.5,75.1,68.8,,64.9,55.7
3,0,28.2,,0,53.4,,0,0,,53.1,51.4,59,27.3,42,,16.3,6,,3.8,0,57.4,0,29.3,32.1,22.4,0.2,54.6,17.4,0,73.6,,31.4,57.2,0.6,0,63.5,6.5,0,11.9,71.2,2.3,68.3,,70.3,51.6
4,0,0,,0,40.8,,0,0,,45,49.8,53.9,50.8,53.1,,0,7.2,,11.8,3.8,47.2,17.2,34,0,22.9,15.4,65.4,15.8,7.3,59.7,,39.7,52.6,10.9,0,65,1.3,0,1.2,31.7,0,63.2,,59.2,42.1
5,0,0,,0,60.2,,0,0,,51.6,31.9,46.1,35.5,39.4,,16.5,7.2,,13.5,2.6,62.1,0,4.9,24,0,0,31.8,34.7,13.1,46.5,,5.1,57.8,4.9,0,54.4,0,0,0,69.9,1,57.6,,61.3,59.4
6,0,0.7,,0,50.4,,14.2,0,,50.4,51.5,40.2,38.6,40.8,,0,0,,6,0,58.5,0,47.3,14,0,21,41.1,0,8.6,61.7,,47.5,55.7,0.8,0,66.5,0,8.2,0,62.5,62.4,60.1,,66,58.6
7,0,43.3,,0,46.5,,0,0,,50.4,53.7,57.6,42.8,34.7,,16.2,0,,0,0,53.3,0.4,29.7,27.9,17.8,20.2,38.7,56,38.8,57.9,,49.2,55.4,0,1.6,53.8,5.8,0,0.6,59,66.5,56.9,,61.8,60.2
8,0,0,,0,31.1,,0,0,,54.4,52.7,59.3,48.3,52.8,,0,0,,5.2,6.5,51.8,0,0,30.4,23.2,22.2,55.4,54.2,10.1,67.6,,50.2,57.2,0,0,61.9,41.7,14.4,10.1,65.2,67.2,63.3,,52.6,56.7
9,0,0,,12.2,35.4,,0,0,,52,55.1,44.7,54.7,48.9,,0,5.4,,10.3,0,56.3,25.6,0,29.2,34.4,22.1,66.5,55.6,9.2,65.1,,9.2,55.7,0,1.7,63.5,22.3,0,18.7,72.1,50.1,71.2,,66.6,65.1
10,0,0,,0,80,,0,0,,48.6,44.9,56.5,42.7,36,,0,0,,0,0,53.3,6.3,0,0,0,18.1,41.7,43.8,0,73,,51.5,55.1,0,0,59.6,36.5,9.7,0,65.3,55.7,73.4,,62,46.9
11,0,25.8,,21.7,68.3,,0,0.3,,55.9,54.4,28.2,56.4,21.8,,0,0,,48.2,2.4,60.4,9.2,0,29.6,0,0,60.1,52.4,0,55.8,,37.3,49.9,9.7,1.5,53.3,0,0,37.6,68.9,65.9,70.2,,61,49.6
12,0,0,,9.4,63.1,,0,0,,49.4,35.5,42.2,41.7,20.5,,0,0,,0,5.8,50.7,0.6,14.2,0,0,0,39.2,30.8,24.7,63.1,,0,53.2,0,1.9,51,14.2,0,0.6,56.7,64.4,7,,63,46.6
13,0,0,,17,53.5,,0,0,,58.9,56.1,43.5,36.7,33.6,,0,0,,0,2.9,57.4,7.9,31.6,0,0,26.4,36.3,0,13.2,66.5,,49,53.4,0.6,0,60.2,0,29,18.5,59.2,73.4,0,,53.1,51.3
14,0,6.9,,6.7,45.4,,0,0,,49.7,56.3,45.1,38.1,46.5,,0,0,,1.9,0,56.3,16.9,16.2,6,0.2,16,18.8,0,24,66,,0,57,0.8,0,59,0,11.5,0,64.4,72.1,0,,57.2,44.7
15,0,46.8,,5.1,32,,0,0,,48,59.4,40.5,29.4,32.2,,15.4,0,,0,2.6,49.2,35.1,28.8,23.9,14.1,20.6,29.5,0,0,61.7,,48.6,61.9,1,1.8,51.3,33.4,0,49.5,34,70.4,61.9,,60.4,0
16,22.6,11.3,,0,39.4,,0,0,,56.1,16,37.2,46.3,43.8,,0,0,,16.9,0,46.9,16.7,10.1,0,29.5,16.9,58.2,10.3,0,62.9,,45.8,60.8,0,0,49,0.4,12.1,0.7,,70.8,59.3,,19.7,26.7
