,CBR11,CBR11,CBR14,CBR14,CBR15,CBR15,CBR16,CBR16,CBR19,CBR19,CBR21,CBR21,CBR22,CBR22,CBR24,CBR24,CBR26,CBR26,CBR25,CBR25,CBR27,CBR27,CBR28,CBR28
Days,SCO-Waist,CBR-Waist,SCO-Waist,CBR-Waist,SCO-Waist,CBR-Waist,SCO-Waist,CBR-Waist,SCO-Waist,CBR-Waist,SCO-Waist,CBR-Waist,SCO-Waist,CBR-Waist,SCO-Waist,CBR-Waist,SCO-Waist,CBR-Waist,CBR-Waist,SCO-Waist,SCO-Waist,CBR-Waist,SCO-Waist,CBR-Waist
1,86.6,81.6,97.8,30.7,88,84.6,69.5,100,48.7,52.2,44.1,72,33.1,74,14.1,55.1,85.2,29.2,11.6,,54.4,13.1,44.9,39.2
2,39.8,16.3,0,0,56.3,66.6,34.4,3.8,0,0.3,41.9,17.4,0,0,22.8,31.7,34.7,9,26.2,,0,0.9,0,6.3
3,22.3,62.8,47.8,0,60.6,58.1,27.3,42.8,35.1,9.3,59.4,33.9,0,0,33.8,32.2,16.1,0,31.5,,0,0,6.5,0.8
4,17.3,21.9,0.2,1.8,53.6,53.5,53.6,61.3,3.8,7.1,47.2,0,21.2,0,28.8,25.5,12.6,6.7,41,,10.8,0.3,1.9,1
5,31.6,52.9,0,0,59.3,50.3,34.9,54.5,16.9,11.6,55.2,50.6,0,0.2,0,0,29.7,11.6,2.7,,5.7,0.4,0.4,3.6
6,38.1,49.7,11,0,53.3,57.7,36.6,40.7,0,0.2,42.5,33.1,0,50.1,11,36.7,0,13.4,32.2,,0,0,0.2,19.4
7,21.1,51.5,0,0,56.3,59.5,45.1,34.9,16.3,0,0,51.5,0.4,29.5,32.5,28.7,46.5,39.7,30.1,,0,1.7,0.4,0
8,19.5,41,0,0,61.4,61.7,53.1,49.2,0,0,44,35.3,0,0,28.4,22.9,51.9,5.5,33.9,,0,0,41.7,19.6
9,65.1,33.4,0,0,59,58.8,57.4,48.1,0,16.8,54,49.6,15.8,0,34.2,33.7,33.7,9.4,0.5,,0,3.5,22.3,0
10,46.7,80.3,0.8,0,58.2,60.2,45.4,35.6,0,0,48.5,12.9,0,0,23.5,18,32.3,0,31.3,,0,0,36.7,10.6
11,35.1,68.3,0,0.2,62.2,59.9,41.3,25.7,0,0,16.9,3.8,0,0,11.9,16.2,25.1,0,45.6,,9.6,8.3,0,0
12,34.9,55.8,0.2,0,56.5,58.7,42.6,39.4,0,0,49.3,45.4,0,14.3,0,0,22.3,28.5,0,,0,6.7,9.7,0.2
13,31.5,35.4,0,0,58.9,60.3,46,17.7,0,0,51.4,53.8,9.8,31.5,0,34.2,0,12.9,26.5,,0,0,0,31
14,27.8,34.1,0,0,54.8,53.6,52,53,0,0,46.7,37,19.6,15.8,0.2,16,8.1,25.8,0,,0,0,0.4,12.4
15,31.5,3.1,0,0,87.7,62.2,26.6,32.7,15.6,0,52.9,56.3,34.8,0,23.3,21,0,0,31.3,,0,1.2,33.8,0
16,33.3,28.3,0,0,58.8,15.3,53.2,41,0,0,59.3,40.8,16.3,0,38.1,22.5,10.6,0,24.5,,0,1.1,0.4,13.1
17,20.6,39.2,40.8,0,54.1,74.2,21.4,57.2,0,0,54.8,31.7,0,29.1,41.7,23.6,0,0,0,,0,19.6,8.1,0
18,38.2,22.9,0,0,59.2,56,71.6,48.9,0,0,40.1,46.3,0,22.5,32.3,0,0,8.3,0,,0,8.6,0,1.3
19,40.7,24.6,0,0,59.6,58.8,34,54.8,0,7.2,21.8,55.8,0,0,0,0,2,23.6,0,,0,0,1.3,9.8
20,20.9,38.7,38.3,0,52.6,53,33.6,63.9,11.5,0.4,50.5,50.8,0,0,31.7,18.5,1.5,29.5,36.1,,3.1,0,0,9.7
21,13.6,29.2,49.1,0,58.3,58.5,64.9,52.3,0,0,21.2,0,0,22.8,45.7,24.5,39,37.2,0.2,,0,0,20.6,0
22,17.4,18.5,48.8,0,52,47.7,26.5,73.3,0,0,42.2,53.8,0,32.3,37,26.4,52.5,16.3,4.1,,0,0,0,21.9
23,9,45.1,35.6,0,59.8,49.1,20.2,56,0,0,49.7,0.9,0,0,41.4,16.3,43.3,0,0,,0,0,0,0
24,,37.2,41.7,0,59.7,58.3,0,52.7,0,0,47.1,46,0,18.3,29.3,0,38.8,15.4,0,,0,0,0,0
25,,29.7,0.4,0,59.9,62.6,29.3,68.7,0,0,43.9,18.9,0,0,16.1,10.2,27.8,0,0,,0,0,0,0
26,,22.5,0,0,58,65.1,48.5,68.3,0,0,57.6,57.2,0,10.6,38.6,1.2,52.9,20.1,0,,0,0,0.6,0
27,,37.7,2.2,0,53.7,63.7,23.9,55.6,29.3,0,37.1,17.3,0,19.7,0,25.2,22.2,0,0.2,,8.3,1.4,5.6,0
28,,19.1,1.5,0,51.9,53.5,41.5,86.3,14.9,11.3,0,,0,14,32.4,36.6,62.1,17.1,0.2,,2.9,0,0,0
29,,,11.1,0,57.2,52.9,38.7,66.3,,0,39.9,,0,0,42.5,25.2,50.6,0,41.7,,0,0,44.7,0
30,,,,0,60.3,61.5,26.9,84,,0,45,,0,9.8,41,,13.4,17.8,0,,0,0,16.7,0
31,,,,0,58.2,60.1,37.6,65.3,,8.4,11.3,,17.8,20.9,31.9,,,12.3,31.5,,0,0.6,8.2,0
32,,,,0,61.1,51.3,31.1,88.5,,0,0,,,,28.3,,,12.5,30.5,,0,0,,0
33,,,,0,,65.6,41.4,,,0,0,,,,20.3,,,8.3,19.5,,0,7.5,,0
34,,,,0,,64.3,,,,16.7,2.3,,,,11.7,,,15,41.9,,0,0,,0
35,,,,0,,,,,,,,,,,33.1,,,,21.5,,0,0,,
36,,,,,,,,,,,,,,,10.3,,,,18.8,,0,0,,
